# x_m, y_m, w_tr_right_m, w_tr_left_m
60.0260,16.1133,1.2813,3.9217
59.8399,15.7966,1.2629,3.9487
59.6483,15.4817,1.2636,3.9592
59.4534,15.1685,1.2854,3.9644
59.2573,14.8571,1.3291,3.9378
59.2493,14.8445,1.3310,3.9368
59.0615,14.5474,1.3925,3.9056
58.8657,14.2401,1.4705,3.8558
58.6691,13.9361,1.5581,3.7951
58.4706,13.6362,1.6504,3.7278
58.2695,13.3412,1.7433,3.6451
58.0648,13.0520,1.8341,3.5589
57.8555,12.7694,1.9205,3.4699
57.6409,12.4942,1.9993,3.3782
57.4200,12.2272,2.0697,3.2879
57.1919,11.9693,2.1338,3.2038
56.9558,11.7214,2.1878,3.1280
56.7106,11.4842,2.2339,3.0619
56.4555,11.2586,2.2714,3.0068
56.3036,11.1341,2.2891,2.9778
56.1896,11.0453,2.2996,2.9617
55.9127,10.8448,2.3225,2.9280
55.6254,10.6570,2.3367,2.9049
55.3284,10.4815,2.3492,2.8910
55.0223,10.3181,2.3547,2.8840
54.7077,10.1667,2.3568,2.8659
54.3854,10.0271,2.3562,2.8513
54.0559,9.8990,2.3501,2.8419
53.7199,9.7821,2.3425,2.8373
53.3780,9.6764,2.3319,2.8339
53.0310,9.5816,2.3169,2.8329
52.6794,9.4975,2.3005,2.8359
52.3240,9.4238,2.2821,2.8424
51.9652,9.3604,2.2601,2.8501
51.6039,9.3071,2.2358,2.8494
51.2407,9.2636,2.2279,2.8450
50.8761,9.2297,2.2268,2.8388
50.5109,9.2052,2.2312,2.8331
50.1458,9.1899,2.2367,2.8264
49.7813,9.1836,2.2422,2.8211
49.4181,9.1860,2.2468,2.8171
49.0568,9.1971,2.2510,2.8111
48.9023,9.2044,2.2551,2.8083
48.6981,9.2165,2.2585,2.8034
48.3423,9.2440,2.2665,2.7963
47.9891,9.2794,2.2750,2.7897
47.6386,9.3224,2.2843,2.7912
47.2904,9.3728,2.2895,2.7938
46.9446,9.4303,2.2947,2.7970
46.6010,9.4948,2.2998,2.7980
46.2595,9.5659,2.3048,2.7977
45.9199,9.6435,2.3120,2.7985
45.5822,9.7272,2.3180,2.8003
45.2461,9.8168,2.3228,2.8000
44.9116,9.9122,2.3277,2.8014
44.5786,10.0130,2.3319,2.8046
44.2470,10.1189,2.3341,2.8086
43.9165,10.2299,2.3351,2.8143
43.5871,10.3455,2.3255,2.8224
43.2587,10.4656,2.3098,2.8323
42.9312,10.5900,2.2889,2.8416
42.6043,10.7183,2.2694,2.8504
42.2781,10.8504,2.2499,2.8590
41.9523,10.9860,2.2313,2.8661
41.6268,11.1248,2.2143,2.8694
41.3016,11.2666,2.2018,2.8710
40.9764,11.4112,2.1927,2.8702
40.6513,11.5583,2.1879,2.8626
40.3260,11.7077,2.1885,2.8518
40.0004,11.8592,2.1948,2.8377
39.6744,12.0124,2.2021,2.8297
39.5001,12.0949,2.2103,2.8255
39.3479,12.1672,2.2177,2.8179
39.0210,12.3235,2.2402,2.8020
38.6940,12.4815,2.2692,2.7774
38.3672,12.6413,2.3039,2.7488
38.0411,12.8033,2.3435,2.7166
37.7159,12.9674,2.3874,2.6780
37.3921,13.1340,2.4365,2.6354
37.0698,13.3031,2.4885,2.5904
36.7496,13.4751,2.5427,2.5421
36.4317,13.6500,2.5983,2.4897
36.1164,13.8280,2.6551,2.4361
35.8042,14.0094,2.7148,2.3818
35.4954,14.1943,2.7750,2.3248
35.1903,14.3829,2.8353,2.2664
34.8892,14.5753,2.8951,2.2082
34.5925,14.7718,2.9563,2.1504
34.3006,14.9726,3.0171,2.0898
34.0138,15.1778,3.0763,2.0301
33.7324,15.3876,3.1335,1.9721
33.4568,15.6021,3.1884,1.9140
33.1874,15.8217,3.2355,1.8558
32.9244,16.0464,3.2752,1.8022
32.6682,16.2764,3.3145,1.7546
32.4192,16.5119,3.3492,1.7191
32.1777,16.7532,3.3799,1.6880
31.9441,17.0003,3.4077,1.6618
31.7186,17.2535,3.4290,1.6386
31.5017,17.5130,3.4482,1.6203
31.2937,17.7788,3.4601,1.6089
31.1651,17.9529,3.4668,1.6046
31.0949,18.0513,3.4691,1.6046
30.9055,18.3304,3.4712,1.6052
30.7250,18.6159,3.4704,1.6135
30.5531,18.9074,3.4632,1.6289
30.3894,19.2048,3.4527,1.6491
30.2336,19.5077,3.4381,1.6794
30.0854,19.8159,3.4222,1.7173
29.9443,20.1292,3.4028,1.7603
29.8100,20.4471,3.3788,1.8047
29.6822,20.7696,3.3538,1.8523
29.5605,21.0963,3.3252,1.9028
29.4444,21.4269,3.2942,1.9515
29.3338,21.7611,3.2639,2.0005
29.2281,22.0988,3.2325,2.0501
29.1271,22.4396,3.2010,2.0963
29.0303,22.7833,3.1722,2.1393
28.9375,23.1296,3.1466,2.1802
28.8482,23.4782,3.1135,2.2130
28.7622,23.8288,3.0724,2.2398
28.6789,24.1813,3.0292,2.2637
28.5982,24.5352,2.9922,2.2822
28.5196,24.8904,2.9609,2.2959
28.4427,25.2466,2.9344,2.3068
28.3672,25.6035,2.9128,2.3125
28.2927,25.9608,2.8961,2.3133
28.2190,26.3183,2.8854,2.3111
28.1788,26.5139,2.8822,2.3071
28.1455,26.6757,2.8803,2.3038
28.0724,27.0329,2.8842,2.2920
28.0001,27.3897,2.8960,2.2757
27.9290,27.7462,2.9130,2.2500
27.8595,28.1022,2.9339,2.2180
27.7922,28.4577,2.9567,2.1837
27.7274,28.8127,2.9807,2.1478
27.6657,29.1672,3.0057,2.1088
27.6074,29.5210,3.0332,2.0693
27.5530,29.8741,3.0607,2.0299
27.5029,30.2264,3.0892,1.9880
27.4577,30.5780,3.1250,1.9465
27.4178,30.9287,3.1695,1.9058
27.3835,31.2785,3.2145,1.8623
27.3554,31.6274,3.2578,1.8167
27.3339,31.9753,3.2986,1.7727
27.3195,32.3221,3.3349,1.7309
27.3126,32.6678,3.3690,1.6911
27.3136,33.0124,3.3981,1.6560
27.3230,33.3557,3.4229,1.6261
27.3413,33.6978,3.4435,1.5991
27.3688,34.0385,3.4583,1.5787
27.4062,34.3779,3.4691,1.5653
27.4537,34.7159,3.4735,1.5580
27.5118,35.0524,3.4738,1.5581
27.5309,35.1507,3.4727,1.5600
27.5810,35.3874,3.4672,1.5669
27.6607,35.7209,3.4561,1.5839
27.7500,36.0532,3.4380,1.6062
27.8481,36.3843,3.4160,1.6350
27.9538,36.7145,3.3878,1.6695
28.0664,37.0438,3.3555,1.7078
28.1848,37.3725,3.3189,1.7494
28.3081,37.7007,3.2781,1.7941
28.4355,38.0285,3.2351,1.8409
28.5658,38.3562,3.1893,1.8885
28.6983,38.6837,3.1416,1.9369
28.8319,39.0114,3.0930,1.9852
28.9657,39.3394,3.0442,2.0326
29.0989,39.6678,2.9956,2.0782
29.2303,39.9967,2.9482,2.1196
29.3592,40.3264,2.9027,2.1554
29.4845,40.6569,2.8598,2.1880
29.6053,40.9885,2.8207,2.2163
29.7093,41.2874,2.7897,2.2374
29.7207,41.3213,2.7864,2.2395
29.8301,41.6554,2.7581,2.2581
29.9335,41.9907,2.7353,2.2721
30.0315,42.3272,2.7178,2.2820
30.1242,42.6648,2.7051,2.2885
30.2121,43.0035,2.6966,2.2913
30.2955,43.3431,2.6910,2.2912
30.3748,43.6837,2.6884,2.2888
30.4503,44.0251,2.6885,2.2839
30.5223,44.3673,2.6905,2.2773
30.5913,44.7103,2.6933,2.2696
30.6575,45.0538,2.7056,2.2586
30.7213,45.3980,2.7261,2.2433
30.7831,45.7426,2.7482,2.2275
30.8432,46.0877,2.7708,2.2108
30.9019,46.4332,2.7942,2.1935
30.9596,46.7790,2.8181,2.1758
31.0167,47.1251,2.8425,2.1574
31.0734,47.4713,2.8676,2.1385
31.1302,47.8176,2.8931,2.1191
31.1874,48.1640,2.9193,2.0989
31.2454,48.5103,2.9463,2.0784
31.3044,48.8566,2.9735,2.0575
31.3145,48.9148,2.9783,2.0539
31.3648,49.2026,3.0014,2.0354
31.4265,49.5486,3.0201,2.0162
31.4890,49.8944,3.0362,2.0005
31.5521,50.2402,3.0512,1.9855
31.6154,50.5858,3.0677,1.9699
31.6786,50.9315,3.0848,1.9533
31.7413,51.2771,3.1025,1.9359
31.8033,51.6228,3.1206,1.9182
31.8642,51.9685,3.1383,1.9001
31.9236,52.3143,3.1559,1.8821
31.9813,52.6602,3.1736,1.8648
32.0368,53.0062,3.1897,1.8477
32.0899,53.3525,3.2079,1.8308
32.1403,53.6989,3.2280,1.8165
32.1876,54.0455,3.2469,1.8035
32.2314,54.3924,3.2626,1.7923
32.2714,54.7395,3.2770,1.7838
32.3074,55.0870,3.2856,1.7820
32.3389,55.4348,3.2890,1.7854
32.3657,55.7830,3.2904,1.7953
32.3873,56.1315,3.2813,1.8135
32.4036,56.4805,3.2668,1.8338
32.4140,56.8300,3.2490,1.8344
32.4142,56.8383,3.2487,1.8344
32.4184,57.1798,3.2317,1.8326
32.4165,57.5300,3.2163,1.8425
32.4079,57.8804,3.1985,1.8590
32.3925,58.2307,3.1730,1.8796
32.3699,58.5807,3.1465,1.9027
32.3400,58.9304,3.1153,1.9306
32.3024,59.2796,3.0811,1.9573
32.2569,59.6279,3.0484,1.9829
32.2033,59.9754,3.0168,2.0195
32.1412,60.3218,2.9854,2.0600
32.0705,60.6669,2.9497,2.1010
31.9909,61.0105,2.9082,2.1403
31.9020,61.3526,2.8601,2.1756
31.8038,61.6928,2.8138,2.2063
31.6958,62.0311,2.7719,2.2364
31.5779,62.3673,2.7344,2.2628
31.4784,62.6291,2.7072,2.2807
31.4498,62.7011,2.7011,2.2852
31.3113,63.0322,2.6673,2.3079
31.1623,63.3597,2.6374,2.3327
31.0028,63.6825,2.6103,2.3578
30.8329,63.9996,2.5823,2.3872
30.6523,64.3102,2.5527,2.4122
30.4613,64.6132,2.5277,2.4324
30.2596,64.9075,2.5084,2.4532
30.0473,65.1924,2.4894,2.4680
29.8243,65.4666,2.4739,2.4796
29.5906,65.7293,2.4653,2.4887
29.3463,65.9795,2.4620,2.4904
29.0911,66.2162,2.4588,2.4930
28.8252,66.4383,2.4646,2.4869
28.6054,66.6044,2.4764,2.4819
28.5485,66.6450,2.4802,2.4795
28.2612,66.8360,2.4976,2.4638
27.9644,67.0124,2.5223,2.4439
27.6589,67.1759,2.5539,2.4187
27.3459,67.3280,2.5880,2.3869
27.0264,67.4701,2.6212,2.3559
26.7014,67.6037,2.6569,2.3208
26.3718,67.7305,2.6929,2.2837
26.0388,67.8518,2.7228,2.2497
25.7034,67.9691,2.7489,2.2175
25.3665,68.0841,2.7691,2.1903
25.0293,68.1981,2.7815,2.1711
24.6927,68.3128,2.7899,2.1601
24.5691,68.3554,2.7905,2.1582
24.3577,68.4294,2.7906,2.1582
24.0245,68.5483,2.7846,2.1647
23.6928,68.6688,2.7740,2.1783
23.3625,68.7904,2.7559,2.1974
23.0330,68.9124,2.7346,2.2223
22.7043,69.0341,2.7096,2.2501
22.3760,69.1550,2.6807,2.2802
22.0477,69.2745,2.6499,2.3127
21.7192,69.3919,2.6167,2.3687
21.3902,69.5066,2.5604,2.4253
21.0605,69.6180,2.5027,2.4797
20.7296,69.7255,2.4465,2.5331
20.3974,69.8285,2.3913,2.5833
20.0635,69.9263,2.3382,2.6296
20.0074,69.9421,2.3297,2.6375
19.7277,70.0184,2.2886,2.6743
19.3900,70.1047,2.2427,2.7157
19.0504,70.1852,2.1985,2.7544
18.7092,70.2600,2.1575,2.7922
18.3663,70.3292,2.1209,2.8241
18.0220,70.3928,2.0924,2.8484
17.6763,70.4509,2.0792,2.8544
17.3293,70.5036,2.0727,2.8551
16.9811,70.5509,2.0670,2.8552
16.6319,70.5929,2.0596,2.8566
16.2817,70.6297,2.0530,2.8577
15.9306,70.6612,2.0461,2.8589
15.5789,70.6877,2.0351,2.8643
15.4332,70.6972,2.0317,2.8657
15.2265,70.7091,2.0240,2.8714
14.8736,70.7253,2.0111,2.8801
14.5207,70.7357,1.9930,2.8914
14.1678,70.7399,1.9752,2.9081
13.8154,70.7375,1.9554,2.9295
13.4636,70.7281,1.9352,2.9543
13.1127,70.7111,1.9171,2.9817
12.7631,70.6863,1.8976,3.0087
12.4150,70.6530,1.8766,3.0329
12.0687,70.6109,1.8589,3.0568
11.7243,70.5596,1.8433,3.0775
11.3824,70.4985,1.8286,3.0935
11.3585,70.4938,1.8279,3.0944
11.0429,70.4274,1.8195,3.1081
10.7058,70.3467,1.8156,3.1176
10.3708,70.2572,1.8124,3.1257
10.0377,70.1595,1.8134,3.1307
9.7063,70.0542,1.8181,3.1326
9.3762,69.9421,1.8228,3.1350
9.0472,69.8239,1.8280,3.1357
8.7191,69.7001,1.8343,3.1361
8.3917,69.5716,1.8372,3.1405
8.0646,69.4389,1.8374,3.1472
7.7376,69.3028,1.8362,3.1579
7.4105,69.1639,1.8272,3.1743
7.0830,69.0230,1.8140,3.2008
6.8784,68.9343,1.8027,3.2209
6.7548,68.8806,1.7959,3.2339
6.4264,68.7367,1.7675,3.2719
6.0988,68.5904,1.7357,3.3144
5.7733,68.4405,1.6978,3.3605
5.4509,68.2860,1.6544,3.4094
5.1328,68.1257,1.6112,3.4599
4.8203,67.9586,1.5644,3.5069
4.5144,67.7836,1.5175,3.5493
4.2165,67.5996,1.4753,3.5887
3.9276,67.4055,1.4346,3.6180
3.6489,67.2002,1.3988,3.6503
3.3817,66.9827,1.3733,3.6713
3.1270,66.7519,1.3547,3.6864
3.0055,66.6319,1.3498,3.6916
2.8860,66.5067,1.3458,3.6950
2.6592,66.2470,1.3509,3.6962
2.4462,65.9741,1.3637,3.6950
2.2466,65.6888,1.3818,3.6873
2.0601,65.3923,1.4099,3.6742
1.8864,65.0856,1.4385,3.6573
1.7251,64.7698,1.4687,3.6363
1.5759,64.4460,1.5052,3.6114
1.4383,64.1152,1.5330,3.5883
1.3121,63.7785,1.5633,3.5611
1.1969,63.4369,1.5943,3.5299
1.0924,63.0916,1.6175,3.5026
0.9981,62.7436,1.6432,3.4759
0.9227,62.4328,1.6644,3.4520
0.9138,62.3940,1.6677,3.4498
0.8392,62.0435,1.6881,3.4268
0.7747,61.6927,1.7119,3.4056
0.7205,61.3416,1.7376,3.3821
0.6772,60.9905,1.7639,3.3588
0.6450,60.6396,1.7962,3.3328
0.6243,60.2892,1.8351,3.3026
0.6155,59.9394,1.8773,3.2737
0.6190,59.5905,1.9253,3.2390
0.6352,59.2427,1.9804,3.2043
0.6643,58.8962,2.0409,3.1625
0.6998,58.6014,2.0937,3.1256
0.7068,58.5513,2.1036,3.1187
0.7625,58.2081,2.1713,3.0666
0.8301,57.8664,2.2420,3.0081
0.9080,57.5260,2.3038,2.9463
0.9944,57.1869,2.3616,2.8815
1.0878,56.8487,2.4140,2.8177
1.1867,56.5114,2.4523,2.7596
1.2893,56.1748,2.4870,2.7058
1.3941,55.8386,2.5123,2.6613
1.4994,55.5028,2.5288,2.6286
1.5654,55.2911,2.5358,2.6143
1.6037,55.1670,2.5396,2.6084
1.7059,54.8313,2.5383,2.6005
1.8058,54.4955,2.5324,2.6032
1.9035,54.1593,2.5183,2.6150
1.9986,53.8228,2.4981,2.6350
2.0912,53.4858,2.4728,2.6623
2.1811,53.1481,2.4408,2.6948
2.2682,52.8097,2.4050,2.7337
2.3524,52.4704,2.3648,2.7801
2.4336,52.1301,2.3212,2.8309
2.5116,51.7887,2.2743,2.8861
2.5864,51.4460,2.2236,2.9459
2.6578,51.1019,2.1689,3.0107
2.6627,51.0777,2.1650,3.0154
2.7260,50.7566,2.1094,3.0782
2.7933,50.4106,2.0451,3.1433
2.8620,50.0651,1.9791,3.2027
2.9349,49.7210,1.9150,3.2538
3.0145,49.3793,1.8563,3.2951
3.1034,49.0411,1.8069,3.3251
3.2042,48.7074,1.7707,3.3442
3.3196,48.3790,1.7520,3.3525
3.3710,48.2478,1.7505,3.3530
3.4517,48.0571,1.7552,3.3510
3.5989,47.7407,1.7796,3.3391
3.7560,47.4279,1.8161,3.3154
3.9178,47.1166,1.8544,3.2794
4.0791,46.8048,1.8882,3.2394
4.2348,46.4905,1.9132,3.2028
4.2522,46.4536,1.9153,3.1992
4.3804,46.1718,1.9272,3.1797
4.5168,45.8492,1.9326,3.1715
4.6463,45.5239,1.9309,3.1738
4.7712,45.1967,1.9234,3.1826
4.8939,44.8690,1.9126,3.1946
4.9874,44.6199,1.9034,3.2036
5.0169,44.5417,1.9007,3.2064
5.1420,44.2157,1.8894,3.2165
5.2697,43.8908,1.8800,3.2256
5.4004,43.5670,1.8727,3.2324
5.5347,43.2443,1.8673,3.2369
5.6730,42.9225,1.8648,3.2393
5.8157,42.6015,1.8664,3.2380
5.9461,42.3181,1.8718,3.2336
5.9633,42.2813,1.8729,3.2328
6.1155,41.9617,1.8854,3.2224
6.2702,41.6423,1.9022,3.2081
6.4249,41.3226,1.9212,3.1903
6.5771,41.0022,1.9401,3.1705
6.7243,40.6807,1.9591,3.1511
6.8641,40.3575,1.9755,3.1343
6.9938,40.0323,1.9865,3.1192
7.1111,39.7046,1.9936,3.1100
7.2134,39.3739,1.9974,3.1050
7.2983,39.0398,1.9946,3.1004
7.3349,38.8634,1.9956,3.0973
7.3632,38.7018,1.9962,3.0974
7.4075,38.3601,1.9877,3.1088
7.4318,38.0152,1.9749,3.1297
7.4374,37.6678,1.9518,3.1574
7.4250,37.3184,1.9225,3.1914
7.3956,36.9678,1.8895,3.2297
7.3503,36.6164,1.8513,3.2705
7.2899,36.2650,1.8104,3.3042
7.2155,35.9142,1.7723,3.3318
7.1280,35.5646,1.7402,3.3573
7.0284,35.2167,1.7147,3.3807
6.9175,34.8713,1.6958,3.3937
6.8268,34.6120,1.6854,3.3995
6.7965,34.5290,1.6841,3.4006
6.6656,34.1907,1.6801,3.4042
6.5241,33.8582,1.6821,3.4051
6.3709,33.5332,1.6894,3.4231
6.2052,33.2174,1.7104,3.4436
6.0260,32.9128,1.7328,3.4671
5.8323,32.6210,1.7509,3.4949
5.6231,32.3439,1.7623,3.5293
5.3976,32.0832,1.7683,3.5731
5.1547,31.8407,1.7676,3.6269
5.1365,31.8239,1.7672,3.6292
4.8941,31.6176,1.7559,3.6738
4.6173,31.4121,1.7387,3.7015
4.3271,31.2216,1.7135,3.7304
4.0258,31.0434,1.6799,3.7584
3.7160,30.8749,1.6429,3.7843
3.4001,30.7133,1.6091,3.8063
3.0807,30.5560,1.5820,3.8224
2.7603,30.4003,1.5650,3.8265
2.4413,30.2436,1.5614,3.8258
2.4073,30.2266,1.5622,3.8249
2.1259,30.0837,1.5730,3.8156
1.8138,29.9210,1.5907,3.8088
1.5038,29.7572,1.5901,3.8094
1.1948,29.5936,1.5981,3.8028
0.8857,29.4316,1.6097,3.7934
0.5755,29.2729,1.6219,3.7817
0.2630,29.1187,1.6322,3.7693
-0.0232,28.9842,1.6391,3.7613
-0.0530,28.9706,1.6395,3.7608
-0.3729,28.8294,1.6412,3.7588
-0.6963,28.6942,1.6380,3.7626
-1.0221,28.5636,1.6310,3.7709
-1.3495,28.4363,1.6205,3.7828
-1.6775,28.3110,1.6076,3.8146
-2.0052,28.1863,1.5928,3.8562
-2.3316,28.0610,1.5774,3.9013
-2.6560,27.9338,1.5631,3.9440
-2.8569,27.8527,1.5546,3.9677
-2.9773,27.8032,1.5506,3.9821
-3.2956,27.6692,1.5399,4.0204
-3.6126,27.5331,1.5300,4.0625
-3.9299,27.3963,1.5176,4.1105
-4.2491,27.2604,1.5008,4.1681
-4.5719,27.1268,1.4793,4.2402
-4.8999,26.9969,1.4475,4.3327
-5.2348,26.8722,1.4073,4.4518
-5.5050,26.7785,1.3663,4.5744
-5.5782,26.7542,1.3541,4.6124
-5.9292,26.6420,1.2841,4.7895
-6.2809,26.5295,1.2042,4.9436
-6.6261,26.4099,1.1181,5.0419
-6.9572,26.2767,1.0404,5.0619
-7.2669,26.1231,0.9862,5.0142
-7.5477,25.9424,0.9598,4.9452
-7.7590,25.7615,0.9799,4.9386
-7.7921,25.7279,0.9874,4.9471
-7.9960,25.4759,1.0837,5.0612
-8.1632,25.1904,1.2225,5.2242
-8.2989,24.8770,1.3985,5.3643
-8.4083,24.5408,1.6040,5.4309
-8.4965,24.1874,1.7035,5.3899
-8.5689,23.8220,1.8127,5.2311
-8.6305,23.4499,1.8966,4.9662
-8.6866,23.0767,1.9713,4.6297
-8.7173,22.8708,1.9956,4.4306
-8.7738,22.5053,2.0367,4.1186
-8.8297,22.1461,2.0573,3.8940
-8.8818,21.7925,2.0674,3.7363
-8.9270,21.4437,2.0649,3.5961
-8.9621,21.0990,2.0543,3.4794
-8.9839,20.7576,2.0345,3.3915
-8.9892,20.4188,2.0171,3.3200
-8.9749,20.0818,2.0441,3.2652
-8.9736,20.0643,2.0467,3.2624
-8.9388,19.7458,2.0986,3.2030
-8.8831,19.4101,2.1401,3.1223
-8.8114,19.0740,2.1800,3.0344
-8.7274,18.7367,2.2144,2.9517
-8.6346,18.3974,2.2316,2.8864
-8.5366,18.0553,2.2461,2.8422
-8.4370,17.7099,2.2363,2.8249
-8.3394,17.3601,2.2231,2.8411
-8.3125,17.2596,2.2134,2.8510
-8.2470,17.0057,2.1850,2.9021
-8.1586,16.6481,2.1384,2.9919
-8.0707,16.2904,2.0787,3.0933
-7.9798,15.9353,2.0107,3.1936
-7.8823,15.5858,1.9356,3.2813
-7.7747,15.2447,1.8530,3.3488
-7.6534,14.9150,1.7771,3.3954
-7.5149,14.5996,1.7147,3.4192
-7.3557,14.3013,1.6744,3.4261
-7.1721,14.0231,1.6661,3.4261
-6.9933,13.8035,1.6894,3.4295
-6.9607,13.7679,1.6979,3.4308
-6.7199,13.5368,1.7276,3.4366
-6.4535,13.3268,1.7900,3.4242
-6.1662,13.1340,1.8762,3.3797
-5.8625,12.9547,1.9745,3.2998
-5.5471,12.7850,2.0754,3.1836
-5.2247,12.6211,2.1650,3.0601
-4.8998,12.4593,2.2406,2.9247
-4.5771,12.2956,2.3001,2.7890
-4.4757,12.2426,2.3164,2.7475
-4.2609,12.1267,2.3480,2.6724
-3.9520,11.9516,2.3885,2.5909
-3.6494,11.7714,2.4240,2.5441
-3.3517,11.5872,2.4551,2.5103
-3.0578,11.3998,2.4694,2.4787
-2.7663,11.2105,2.4782,2.4673
-2.4760,11.0202,2.4743,2.4714
-2.1857,10.8298,2.4651,2.4846
-1.9580,10.6817,2.4539,2.4982
-1.8942,10.6405,2.4511,2.5025
-1.6006,10.4528,2.4314,2.5226
-1.3053,10.2667,2.4108,2.5448
-1.0084,10.0817,2.3887,2.5687
-0.7105,9.8977,2.3646,2.5923
-0.4117,9.7144,2.3409,2.6158
-0.1124,9.5315,2.3174,2.6378
0.1871,9.3487,2.2953,2.6582
0.4863,9.1657,2.2753,2.6775
0.5596,9.1208,2.2706,2.6815
0.7851,8.9824,2.2569,2.6941
1.0833,8.7986,2.2401,2.7096
1.3811,8.6144,2.2255,2.7241
1.6786,8.4300,2.2121,2.7363
1.9758,8.2454,2.2000,2.7475
2.2728,8.0606,2.1898,2.7575
2.5698,7.8757,2.1811,2.7657
2.8667,7.6909,2.1735,2.7727
3.0773,7.5599,2.1691,2.7771
3.1638,7.5061,2.1673,2.7787
3.4610,7.3214,2.1626,2.7832
3.7583,7.1369,2.1589,2.7867
4.0557,6.9524,2.1560,2.7895
4.3533,6.7680,2.1540,2.7916
4.6508,6.5837,2.1524,2.7931
4.9484,6.3994,2.1512,2.7943
5.2460,6.2151,2.1501,2.7954
5.5436,6.0308,2.1491,2.7965
5.5950,5.9990,2.1489,2.7966
5.8412,5.8464,2.1478,2.7978
6.1387,5.6620,2.1462,2.7994
6.4362,5.4776,2.1440,2.8016
6.7337,5.2932,2.1411,2.8046
7.0311,5.1087,2.1377,2.8082
7.3285,4.9243,2.1332,2.8127
7.6260,4.7398,2.1279,2.8183
7.9234,4.5554,2.1220,2.8244
8.1126,4.4380,2.1177,2.8287
8.2208,4.3709,2.1152,2.8312
8.5183,4.1865,2.1078,2.8389
8.8157,4.0021,2.0998,2.8471
9.1132,3.8176,2.0914,2.8557
9.4107,3.6332,2.0823,2.8648
9.7082,3.4488,2.0729,2.8744
10.0056,3.2644,2.0632,2.8843
10.3031,3.0799,2.0531,2.8945
10.6006,2.8955,2.0427,2.9049
10.6303,2.8771,2.0417,2.9060
10.8981,2.7111,2.0322,2.9155
11.1955,2.5267,2.0215,2.9263
11.4930,2.3423,2.0107,2.9371
11.7905,2.1578,1.9999,2.9478
12.0879,1.9734,1.9891,2.9586
12.3854,1.7890,1.9784,2.9692
12.6829,1.6046,1.9679,2.9796
12.9803,1.4201,1.9575,2.9899
13.1479,1.3162,1.9519,2.9955
13.2778,1.2357,1.9475,2.9999
13.5753,1.0513,1.9378,3.0094
13.8727,0.8668,1.9284,3.0186
14.1702,0.6824,1.9194,3.0275
14.4677,0.4980,1.9109,3.0358
14.7651,0.3135,1.9028,3.0438
15.0626,0.1291,1.8950,3.0515
15.3601,-0.0553,1.8877,3.0587
15.6575,-0.2397,1.8809,3.0654
15.6656,-0.2447,1.8807,3.0656
15.9550,-0.4241,1.8743,3.0718
16.2525,-0.6085,1.8683,3.0778
16.5500,-0.7929,1.8627,3.0832
16.8475,-0.9773,1.8575,3.0883
17.1449,-1.1617,1.8527,3.0931
17.4424,-1.3462,1.8484,3.0974
17.7399,-1.5306,1.8444,3.1013
18.0373,-1.7151,1.8407,3.1048
18.1833,-1.8056,1.8392,3.1063
18.3347,-1.8996,1.8377,3.1079
18.6321,-2.0841,1.8349,3.1105
18.9296,-2.2686,1.8326,3.1128
19.2270,-2.4531,1.8308,3.1147
19.5244,-2.6376,1.8294,3.1160
19.8219,-2.8220,1.8285,3.1168
20.1194,-3.0064,1.8281,3.1172
20.4169,-3.1907,1.8284,3.1170
20.7009,-3.3665,1.8291,3.1163
20.7145,-3.3749,1.8292,3.1162
21.0121,-3.5591,1.8303,3.1151
21.3098,-3.7432,1.8320,3.1134
21.6075,-3.9272,1.8339,3.1116
21.9051,-4.1114,1.8358,3.1097
22.2027,-4.2957,1.8377,3.1078
22.5001,-4.4802,1.8393,3.1062
22.7974,-4.6650,1.8405,3.1049
23.0945,-4.8500,1.8413,3.1041
23.2186,-4.9275,1.8414,3.1040
23.3913,-5.0354,1.8414,3.1040
23.6880,-5.2211,1.8408,3.1046
23.9847,-5.4068,1.8400,3.1055
24.2815,-5.5923,1.8387,3.1068
24.5786,-5.7775,1.8373,3.1081
24.8760,-5.9620,1.8361,3.1093
25.1739,-6.1457,1.8352,3.1103
25.4724,-6.3284,1.8345,3.1109
25.7362,-6.4884,1.8346,3.1108
25.7717,-6.5098,1.8346,3.1108
26.0718,-6.6898,1.8355,3.1100
26.3727,-6.8686,1.8364,3.1090
26.6742,-7.0464,1.8376,3.1079
26.9761,-7.2234,1.8386,3.1068
27.2783,-7.4000,1.8386,3.1068
